cost_pH,cost_OM,cost_P,cost_K,budget,oracle_subset,oracle_cost,oracle_loss,greedy_subset,greedy_cost,greedy_loss,regret
0.5,0.5,0.5,0.5,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,0.5,0.5,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,0.5,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,0.5,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,0.5,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,1.0,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,0.5,1.0,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,1.0,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,1.0,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,1.0,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,1.0,2.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,0.5,2.0,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,2.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,3.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,2.0,3.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,0.5,4.0,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,4.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,4.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,5.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,0.5,4.0,5.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,0.5,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,1.0,0.5,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,0.5,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,0.5,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,0.5,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,0.5,2.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,1.0,1.0,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,2.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,1.0,3.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,0.0,none,0.0,1.442895927136219,none,0.0,1.442895927136219,0.0
0.5,0.5,1.0,2.0,0.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,1.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,1.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,2.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,2.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,3.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,3.5,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
0.5,0.5,1.0,2.0,4.0,OM,0.5,1.392692878617964,OM,0.5,1.392692878617964,0.0
