subset,k,loss_mean,loss_median,loss_se,nmae_N,nmae_P,nmae_K
none,0,1.442895927136219,1.0438586440183824,0.41872602538932585,1.251629968586867,1.21047936529168,1.86657844753011
OM,1,1.392692878617964,1.034395408950468,0.40773947711959224,1.1644707315303995,1.2342007760393885,1.7794071282841044
K,1,1.44342065396992,1.0318152588527123,0.41821306687487864,1.2390256054496234,1.2355516775474147,1.855684678912722
P,1,1.463926305537569,1.0348503928265078,0.41747247850025815,1.302930028408991,1.1871836718522,1.901665216351517
pH,1,1.499494744582679,1.0824991551708947,0.4203521546748852,1.2580484222565254,1.2489664564872698,1.991469355004241
OM+K,2,1.4168407144005188,0.9729083091240884,0.40576184197356974,1.159349218760239,1.30380826248258,1.7873646619587369
pH+OM,2,1.4340086145354443,1.082794576261038,0.4117364404438647,1.1610973430551883,1.2768229088427598,1.864105591708385
OM+P,2,1.4367881363478097,1.0795680626027702,0.40491381611283583,1.2541808446486116,1.1793879937181533,1.876795570676664
P+K,2,1.442299088174626,1.0074071263104565,0.4201836216612128,1.2589429252024633,1.2120259982180563,1.8559283411033587
pH+K,2,1.5149461380839666,1.1129002916286455,0.4191825645104286,1.2670007591359727,1.2778446338076852,1.999993021308241
pH+P,2,1.5249257396885518,1.088405397162954,0.41859192986864086,1.3155006203690012,1.2264811123213577,2.0327954863752966
OM+P+K,3,1.4460929763765202,1.0001161086410653,0.4034260156957471,1.2285154786254084,1.2078779993881463,1.901885451116006
pH+OM+K,3,1.4645506812602977,1.05520128003924,0.41081918110285404,1.1763743345118551,1.3540486822988447,1.8632290269701939
pH+OM+P,3,1.4837222663512046,1.0965826030962464,0.4085139420698474,1.2562818410887386,1.2213909996807333,1.9734939582841413
pH+P+K,3,1.5154589450881535,1.0711275525290969,0.42050769547168787,1.2885491096828807,1.2622890690589605,1.99553865652262
pH+OM+P+K,4,1.4943754130370157,1.0726894045876527,0.4084423238221178,1.2811163511059993,1.2598046443711735,1.9422052436338744
