budget_usd,subset,cost_usd,loss_mean
0,none,0.0,1.5997873135441354
1,none,0.0,1.5997873135441354
2,none,0.0,1.5997873135441354
3,none,0.0,1.5997873135441354
4,none,0.0,1.5997873135441354
5,none,0.0,1.5997873135441354
6,none,0.0,1.5997873135441354
7,none,0.0,1.5997873135441354
8,none,0.0,1.5997873135441354
9,none,0.0,1.5997873135441354
10,pH,10.0,1.5231649525989268
11,pH,10.0,1.5231649525989268
12,pH,10.0,1.5231649525989268
13,pH,10.0,1.5231649525989268
14,pH,10.0,1.5231649525989268
15,pH+OM,15.0,1.5231533486717235
16,pH+OM,15.0,1.5231533486717235
17,pH+OM,15.0,1.5231533486717235
18,pH+OM,15.0,1.5231533486717235
19,pH+OM,15.0,1.5231533486717235
20,pH+OM,15.0,1.5231533486717235
21,pH+OM,15.0,1.5231533486717235
22,pH+OM,15.0,1.5231533486717235
23,pH+OM,15.0,1.5231533486717235
24,pH+OM,15.0,1.5231533486717235
25,pH+OM,15.0,1.5231533486717235
