subset,k,loss_mean,loss_median,loss_se,nmae_N,nmae_P,nmae_K
none,0,1.5997873135441354,0.9530981935543444,0.47170114529998475,1.4967072501975869,1.2727444151436575,2.0299102752911624
pH,1,1.5231649525989268,0.9290372089841525,0.46479593178844103,1.3498523727654297,1.2570268467767747,1.962615638254577
OM,1,1.6149032355374895,1.0180708386834594,0.4366957754082499,1.5121854544385096,1.263217079042177,2.069307173131782
K,1,1.6299892540507934,0.9449575138844608,0.4635009122723084,1.4795112803492176,1.3075911833633511,2.102865298439811
P,1,1.6483425217486445,1.0177593940288625,0.4677817587535711,1.4989317234056259,1.3168594054433258,2.129236436396982
pH+OM,2,1.5231533486717235,0.9849893912491536,0.42933391774273844,1.3162374835751025,1.2555251571786656,1.9976974052614027
pH+K,2,1.561057834024615,0.9016837811848057,0.4565523683266406,1.3543376730361008,1.2961665797037738,2.0326692493339698
pH+P,2,1.5884588980316425,0.9162232709531043,0.4611352580438727,1.3904473907323718,1.2959857560834047,2.0789435472791506
OM+K,2,1.6200748161186624,0.9939642948572279,0.43455491609433744,1.5031115232047612,1.269552035219092,2.087560889932134
OM+P,2,1.656031985819892,1.048100524909976,0.4397548661769205,1.5172179509745671,1.2849917020985855,2.1658863043865217
P+K,2,1.6610948839626856,0.9754019578622275,0.45771774893554673,1.4520018561481323,1.3477794303083055,2.183503365431619
pH+OM+K,3,1.5355375091702554,0.992216636743745,0.4271121451534612,1.3375756257360385,1.2629524331758069,2.006084468598921
pH+OM+P,3,1.5789601566637488,0.9731803251415408,0.4328328658526401,1.3531071915996542,1.2665307366878447,2.117242541703747
pH+P+K,3,1.6084303814731529,0.9508041775157305,0.4509043702810296,1.3457696207279302,1.3324812472766066,2.1470402764149217
OM+P+K,3,1.6567875491116548,0.998644326163957,0.43365088454775275,1.4719920273765128,1.2890802583743677,2.2092903615840833
pH+OM+P+K,4,1.5900503206379897,0.9600233007809233,0.42662273063056744,1.3404011061536159,1.277553240123854,2.152196615636499
